t,T,x,xdot
2080.0000000000027,180,0.5994796855279366,0.000179796411639372
2090.0000000000027,180,0.60126009269728,0.00017804071693433698
2100.0000000000027,180,0.603023174811414,0.00017630821141340235
2110.0000000000023,180,0.6047691604821206,0.00017459856707066214
2120.0000000000023,180,0.6064982750706089,0.00017291145884883248
2130.0000000000023,180,0.6082107407181101,0.00017124656475011468
2140.000000000002,180,0.6099067763774677,0.0001696035659357559
2150.000000000002,180,0.6115865978456179,0.00016798214681501352
2160.000000000002,180,0.6132504177968598,0.00016638199512419648
2170.0000000000014,180,0.614898445816824,0.00016480280199641586
2180.0000000000014,180,0.6165308884370504,0.00016324426202264308
2190.0000000000014,180,0.6181479491700969,0.00016170607330464256
2200.000000000001,180,0.6197498285451,0.00016018793750031135
2210.000000000001,180,0.6213367241437193,0.0001586895598619306
2220.000000000001,180,0.6229088306363973,0.00015721064926780328
2230.000000000001,180,0.6244663398188747,0.0001557509182477282
2240.0000000000005,180,0.626009440648902,0.00015431008300273124
2250.0000000000005,180,0.6275383192830966,0.00015288786341945463
2260.0000000000005,180,0.6290531591138924,0.0001514839830795777
2270.0,180,0.6305541408065386,0.00015009816926462552
2280.0,180,0.6320414423361036,0.00014873015295649618
2290.0,180,0.6335152390244438,0.00014737966883402256
2299.9999999999995,180,0.6349757035771024,0.00014604645526586314
2309.9999999999995,180,0.6364230061201024,0.00014473025429999938
2319.9999999999995,180,0.6378573142366034,0.0001434308116501015
2329.999999999999,180,0.6392787930033935,0.00014214787667900851
2339.999999999999,180,0.640687605027189,0.0001408812023795529
2349.999999999999,180,0.6420839104807184,0.00013963054535294744
2359.999999999999,180,0.6434678671385679,0.0001383956657849374
2369.9999999999986,180,0.6448396304127669,0.00013717632741990968
2379.9999999999986,180,0.6461993533880983,0.00013597229753313923
2389.9999999999986,180,0.6475471868571117,0.00013478334690133887
2399.999999999998,180,0.6488832793548284,0.0001336092497716729
2409.999999999998,180,0.6502077771931222,0.0001324497838293812
2419.999999999998,180,0.6515208244947637,0.00013130473016415234
2429.9999999999977,180,0.6528225632271174,0.0001301738732353757
2439.9999999999977,180,0.6541131332354814,0.00012905700083639434
2449.9999999999977,180,0.6553926722760601,0.0001279539040578717
2459.9999999999973,180,0.6566613160485639,0.00012686437725037848
2469.9999999999973,180,0.6579191982284269,0.00012578821798629912
2479.9999999999973,180,0.6591664504986384,0.00012472522702114983
2489.999999999997,180,0.6604032025811823,0.00012367520825439565
2499.999999999997,180,0.6616295822680808,0.00012263796868984574
2509.999999999997,180,0.6628457154520379,0.00012161331839570329
2519.9999999999964,180,0.6640517261566813,0.0001206010704643388
2529.9999999999964,180,0.6652477365663998,0.00011960104097185272
2539.9999999999964,180,0.6664338670557747,0.00011861304893748683
2549.9999999999964,180,0.667610236218604,0.00011763691628294121
2559.999999999996,180,0.6687769608965205,0.00011667246779164857
2569.999999999996,180,0.6699341562072011,0.00011571953106805399
2579.999999999996,180,0.6710819355721706,0.00011477793649694491
2589.9999999999955,180,0.6722204107441992,0.0001138475172028725
2599.9999999999955,180,0.6733496918342963,0.00011292810900970223
2609.9999999999955,180,0.6744698873382996,0.00011201955040032884
2619.999999999995,180,0.6755811041630655,0.00011112168247658853
2629.999999999995,180,0.6766834476522594,0.00011023434891939688
2639.999999999995,180,0.6777770216117508,0.00010935739594914062
2649.9999999999945,180,0.6788619283346142,0.00010849067228634758
2659.9999999999945,180,0.6799382686257408,0.00010763402911265792
2669.9999999999945,180,0.681006141826062,0.0001067873200321167
